Title                                  ,Stat          ,Rank
Putts per Round - Round 3              ,28.44         ,53
Putts per Round - Round 4              ,28.00         ,30
One-Putt Percentage                    ,42.33%        ,24
Longest Putts                          ,45' 2         ,186
3-Putt Avoidance                       ,1.88%         ,19
Putting from - > 25'                   ,5.88%         ,69
Putting from - 20-25'                  ,13.04%        ,77
Putting from - 15-20'                  ,29.75%        ,3
Putting from - 10-15'                  ,34.46%        ,37
Putting - Inside 10'                   ,87.20%        ,130
Putting from 10'                       ,29.41%        ,151
Putting from 9'                        ,38.10%        ,143
Putting from 8'                        ,56.58%        ,62
Putting from 7'                        ,66.00%        ,49
Putting from 6'                        ,67.31%        ,124
Putting from 5'                        ,82.19%        ,89
Putting from 4-8'                      ,68.13%        ,105
Putting from 4'                        ,90.52%        ,125
Putting from 3'                        ,99.56%        ,69
Average Distance of Putts made         ,76' 7         ,31
Approach Putt Performance              ,2' 0          ,10
Scoring Average (Adjusted)             ,68.645        ,1
Scoring Average (Actual)               ,68.01         ,1
Lowest Round                           ,63            ,47
Birdie Average                         ,4.88          ,1
Total Birdies                          ,366           ,4
Eagles (Holes per)                     ,122.7         ,34
Total Eagles                           ,11            ,15
Par Breakers                           ,27.93%        ,1
Bounce Back                            ,31.75%        ,2
Par 3 Birdie or Better Leaders         ,16.67%        ,17
Par 4 Birdie or Better Leaders         ,23.33%        ,1
Par 5 Birdie or Better Leaders         ,57.50%        ,2
Birdie or Better Percentage            ,27.93%        ,1
Bogey Avoidance                        ,9.85%         ,2
Final Round Scoring Average            ,68.05         ,3
Final Round Performance                ,94.74%        ,2
Round 1 Scoring Average                ,67.84         ,1
Round 2 Scoring Average                ,67.53         ,1
Round 3 Scoring Average                ,68.74         ,13
Round 4 Scoring Average                ,67.94         ,2
Par 3 Scoring Average                  ,2.98          ,6
Par 4 Scoring Average                  ,3.88          ,1
Par 5 Scoring Average                  ,4.42          ,1
Front 9 Scoring Average                ,34.09         ,1
Back 9 Scoring Average                 ,33.92         ,1
Early Scoring Average                  ,68.39         ,2
Late Scoring Average                   ,67.85         ,1
Consecutive Cuts                       ,44            ,2
Current Streak without a 3-Putt        ,225           ,4
Consecutive Fairways Hit               ,16            ,63
Consecutive GIR                        ,23            ,15
Consecutive Sand Saves                 ,7             ,63
Best YTD 1-Putt or Better Streak       ,9             ,27
Best YTD Streak w/o a 3-Putt           ,225           ,17
YTD Par or Better Streak               ,42            ,1
Consecutive Par 3 Birdies              ,3             ,22
Consecutive Holes Below Par            ,5             ,25
Consecutive Birdies Streak             ,5             ,18
Consecutive Birdies/Eagles streak      ,2             ,105
Official Money                         ,"$29,228,357" ,1
FedExCup Regular Season Points         ,"5,993"       ,1
